index,ERCZO ID,Original Sample Vial Label,Date Collected,Time Collected,Site,Location,Sample Type,Sample Type II,Sample Type III,Tree tag,Tree tag 2,Species (common),Species (scientific),Well water level (m),Depth (m),Depth (cm),Depth (ft),Gravimetric moisture content (g/g),Collected by,Notes,Exclude?,dD Instrument,dO Instrument,HD run ID,dD,GB run ID,dO,Adjacent well groundwater depth at time of sampling (m),Energetic State,Date collection started,Time collection started,"(obsolete, miscalculated) Gravimetric moisture content (g/g)","(obsolete, miscalculated) Gravimetric moisture content (g/g).1"
1954,1955.0,Dry CK 25 May 2017 13:00 0.2925 m,2017-05-25,13:00,Sagehorn,Dry Creek,Water,Stream water,,,,,,,,29.3,,,,,,,,HD512,-46.2,GB684,-7.17,,,,,,
1955,1956.0,Sagehorn Well 501 Stable Isotope 26 May 17 10:40 9.37 m MU ON,2017-05-26,10:40,Sagehorn,W501,Water,Well water,,,,,,,,937,,,"MU, ON",,,,,HD512,-52.1,GB684,-8.07,,,,,,
1956,1957.0,Dry Ck 26 May 2017 12:45 0.29 m,2017-05-26,12:45,Sagehorn,Dry Creek,Water,Stream water,,,,,,,,29,,,,,,,,HD512,-44.5,GB684,-6.79,,,,,,
1958,1959.0,Well 507 SI 26 May 17 12:13 3.05 MU ON,2017-05-26,12:13,Sagehorn,W507,Water,Well water,,,,,,,,305,,,"MU, ON",,,,,HD512,-40.8,GB684,-6.66,,,,,,
1959,1960.0,Well MS-4 SI 26 May 17 12:58 1.50 ON MU TU,2017-05-26,12:58,Sagehorn,MS4,Water,Well water,,,,,,,,150,,,"ON, MU, TU",,,,,HD512,-44.3,GB684,-6.98,,,,,,
1960,1961.0,Well 508 SI 26 May 17 11:50 1.50 ON MU NS,2017-05-26,11:50,Sagehorn,W508,Water,Well water,,,,,,,,150,,,"ON, MU, NS",,,,,HD512,-40.7,GB684,-6.65,,,,,,
1961,1962.0,Well 500 26 May 17 SI 10:10 3.50 ON MU TU,2017-05-26,10:10,Sagehorn,W500,Water,Well water,,,,,,,,350,,,"ON, MU, TU",,,,,HD512,-47.5,GB684,-7.51,,,,,,
1962,1963.0,Sagehorn Well 502 Stable Isotope 26 May 17 10:30 3.23 m MN TU ON,2017-05-26,10:30,Sagehorn,W502,Water,Well water,,,,,,,,323,,,"MN, TU, ON",Sample very cloudy,,,,HD512,-47.4,GB684,-7.39,,,,,,
1964,1965.0,Well 508 07-10-2017 1440,2017-07-10,14:40,Sagehorn,W508,Water,Well water,,,,,,,,,,,,Sample cloudy,,,,HD512,-42.2,GB684,-6.57,,,,,,
1965,1966.0,Well 502 07-10-2017 12:35,2017-07-10,12:35,Sagehorn,W502,Water,Well water,,,,,,,,,,,,,,,,HD512,-48.8,GB684,-7.75,,,,,,
1966,1967.0,Well 501 07-10-2017 11:55,2017-07-10,11:55,Sagehorn,W501,Water,Well water,,,,,,,,,,,,,,,,HD512,-52.4,GB684,-8.02,,,,,,
1968,1969.0,Well 506 07-10-2017 14:20,2017-07-10,14:20,Sagehorn,W506,Water,Well water,,,,,,,,,,,,,,,,HD512,-43.3,GB684,-6.81,,,,,,
1970,1971.0,Well 500 7/10/17 1120,2017-07-10,11:20,Sagehorn,W500,Water,Well water,,,,,,,,,,,,,,,,HD512,-48.8,GB684,-7.56,,,,,,
1971,1972.0,Dry 7/14/17 11:28,2017-07-14,11:28,Sagehorn,Dry Creek,Water,Stream water,,,,,,,,,,,,,,,,HD512,-15.0,GB684,1.11,,,,,,
2067,2068.0,SAGE 1 2017-05-26 16:30 WJH,2017-05-26,16:30,Sagehorn,T1/207,Tree,Stem,,1.0,207.0,Oregon white (Garry) oak,QUGA,,,,,,WJH,,,,,HD515,-51.59,GB687,-6.98,,,,,,
2068,2069.0,SAGE 3 2017-05-26 16:30 WJH,2017-05-26,16:30,Sagehorn,T3/204,Tree,Stem,,3.0,204.0,Oregon white (Garry) oak,QUGA,,,,,,WJH,,,,,HD515,-53.72,GB687,-7.14,,,,,,
2069,2070.0,SAGE 4 2017-05-26 16:30 WJH,2017-05-26,16:30,Sagehorn,T4/205,Tree,Stem,,4.0,205.0,Oregon white (Garry) oak,QUGA,,,,,,WJH,,,,,HD515,-55.26,GB687,-7.81,,,,,,
2070,2071.0,SAGE 5 2017-05-26 16:30 WJH,2017-05-26,16:00,Sagehorn,T5/206,Tree,Stem,,5.0,206.0,Oregon white (Garry) oak,QUGA,,,,,,WJH,,,,,HD515,-53.06,GB687,-7.52,,,,,,
2071,2072.0,SAGE 208 2017-05-26 16:00 WJH,2017-05-26,16:00,Sagehorn,T167/208,Tree,Stem,,167.0,208.0,Oregon white (Garry) oak,QUGA,,,,,,WJH,,,,,HD515,-56.32,GB687,-7.78,,,,,,
2072,2073.0,SAGE NTADJ 2017-05-26 16:00 WJH,2017-05-26,19:00,Sagehorn,T166/NT ADJ,Tree,Stem,,166.0,,Oregon white (Garry) oak,QUGA,,,,,,WJH,,,,,HD515,-49.51,GB687,-6.85,,,,,,
2086,2087.0,SAGE 206 07-10-2017 17:32,2017-07-10,17:32,Sagehorn,T5/206,Tree,Stem,,5.0,206.0,Oregon white (Garry) oak,QUGA,,,,,,texans,,,,,HD515,-55.21,GB687,-7.26,,,,,,
2087,2088.0,SAGE 207 07-10-2017 17:42,2017-07-10,17:42,Sagehorn,T1/207,Tree,Stem,,1.0,207.0,Oregon white (Garry) oak,QUGA,,,,,,texans,,,,,HD515,-53.52,GB687,-7.23,,,,,,
2089,2090.0,M206,2017-04-23,14:00,Sagehorn,"5 m downslope of MS-4, in line with trees in hollow",Soil or rock,Drilled material,Soil,,,,,,0.12,12,,0.2104990279,WJH,,,,,HD515,-41.74,GB687,-6.39,,,,,0.1739,0.0224
2090,2091.0,M207,2017-04-23,14:00,Sagehorn,"5 m downslope of MS-4, in line with trees in hollow - below water table",Soil or rock,Drilled material,Soil,,,,,,0.38,38,,0.2196201719,WJH,,,,,HD515,-47.54,GB687,-7.3,,saturated,,,0.1801,0.0779
2091,2092.0,M208,2017-04-23,14:00,Sagehorn,"5 m downslope of MS-4, in line with trees in hollow - below water table",Soil or rock,Drilled material,Soil,,,,,,0.46,46,,0.2463237398,WJH,,,,,HD515,-60.93,GB687,-7.95,,saturated,,,0.1976,0.0621
2092,2093.0,M209,2017-04-23,14:00,Sagehorn,"5 m downslope of MS-4, in line with trees in hollow - below water table, sandy saprolite/rock, very gooey too",Soil or rock,Drilled material,Saprolite,,,,,,0.54,54,,0.1955574386,WJH,,,,,HD515,-61.11,GB687,-7.3,,saturated,,,0.1636,0.0837
2093,2094.0,M210,2017-04-23,14:00,Sagehorn,"5 m downslope of MS-4, in line with trees in hollow - below water table, sandy saprolite/rock, very gooey too",Soil or rock,Drilled material,Weathered bedrock,,,,,,0.78,78,,0.2111428961,WJH,,,,,HD515,-47.01,GB687,-7.07,,saturated,,,0.1743,0.0666
2094,2095.0,M211,2017-04-23,14:00,Sagehorn,"5 m downslope of MS-4, in line with trees in hollow - below water table, sandy saprolite/rock, very gooey too",Soil or rock,Drilled material,Saprolite,,,,,,0.62,62,,0.1996552715,WJH,,,,,HD515,-51.96,GB687,-7.09,,saturated,,,0.1664,0.075
2095,2096.0,M212,2017-04-23,14:00,Sagehorn,"5 m downslope of MS-4, in line with trees in hollow - below water table, sandy saprolite/rock, very gooey too",Soil or rock,Drilled material,Weathered bedrock,,,,,,1.05,105,,0.1888071859,WJH,,,,,HD515,-48.36,GB687,-7.29,,saturated,,,0.1588,0.0697
2096,2097.0,M233,2017-08-17,16:20,Sagehorn,5 m upslope of MN-1,Soil or rock,Drilled material,Soil,,,,,,0.1,10,,,WJH,dusty grey very dry grass roots,,,,HD515,-42.15,GB687,2.27,,,,,,
2097,2098.0,M234,2017-08-17,16:20,Sagehorn,5 m upslope of MN-1,Soil or rock,Drilled material,Soil,,,,,,0.2,20,,0.09122738767,WJH,,,,,HD515,-65.61,GB687,-6.87,,,,,0.0836,
2098,2099.0,M235,2017-08-17,16:20,Sagehorn,5 m upslope of MN-1,Soil or rock,Drilled material,Saprolite,,,,,,0.4,40,,0.1351568785,WJH,grey brown very dry dusty,,,,HD515,-68.16,GB687,-8.57,,,,,0.1191,
2099,2100.0,M236,2017-08-17,16:20,Sagehorn,5 m upslope of MN-1,Soil or rock,Drilled material,Weathered bedrock,,,,,,0.6,60,,0.1402314253,WJH,reddish dry,,,,HD515,-66.35,GB687,-9.16,,,,,0.123,
2100,2101.0,M237,2017-08-17,16:20,Sagehorn,5 m upslope of MN-1,Soil or rock,Drilled material,Weathered bedrock,,,,,,1.0,100,,0.16835182399999998,WJH,(soil sap boundary at 70 cm) clay rich darker grey hue,,,,HD515,-63.97,GB687,-9.07,,,,,0.1441,
2101,2102.0,M238,2017-08-17,16:20,Sagehorn,5 m upslope of MN-1,Soil or rock,Drilled material,Weathered bedrock,,,,,,1.45,145,,0.1369426752,WJH,"greyer clay dark inside clump, w/ small white nodules",,,,HD515,-67.13,GB687,-9.58,,,,,0.1204,
2102,2103.0,M239,2017-08-17,16:20,Sagehorn,5 m upslope of MN-1,Soil or rock,Drilled material,Weathered bedrock,,,,,,1.6,160,,0.128070721,WJH,darker clay rich slightly gooey,,,,HD515,-67.41,GB687,-9.46,,,,,0.1135,
2103,2104.0,M76,2017-08-17,17:20,Sagehorn,near MS-4,Soil or rock,Drilled material,Soil,,,,,,0.1,10,,0.09850627449,WJH,light grey dusty dry,,,,HD515,-52.48,GB687,-0.86,,,,,0.08967292839,
2104,2105.0,M77,2017-08-17,17:20,Sagehorn,near MS-4,Soil or rock,Drilled material,Soil,,,,,,0.25,25,,0.09538269372,WJH,"blacker, grey",,,,HD515,-61.45,GB687,-6.3,,,,,0.08707705012,0.0836
2105,2106.0,M79,2017-08-17,17:20,Sagehorn,near MS-4,Soil or rock,Drilled material,Soil,,,,,,0.5,50,,0.1240529404,WJH,lighter grey brown dry,,,,HD515,-90.67,GB687,-8.72,,,,,0.1103621866,0.1191
2106,2107.0,M80,2017-08-17,17:20,Sagehorn,near MS-4,Soil or rock,Drilled material,Weathered bedrock,,,,,,0.8,80,,0.1238835688,WJH,yellower hue,,,,HD515,-62.37,GB687,-8.45,,,,,0.1102281164,0.123
2107,2108.0,M221,2017-05-26,16:00,Sagehorn,1.5 m SW of MN-1,Soil or rock,Drilled material,Saprolite,,,,,,1.0,100,,0.1585817605,WJH,"light brown, loose soil",,,,HD515,-48.22,GB687,-6.3,,,,,0.1369,0.0286
2108,2109.0,M222,2017-05-26,16:00,Sagehorn,1.5 m SW of MN-1,Soil or rock,Drilled material,Soil,,,,,,0.23,23,,0.2007143888,WJH,"light brown, loose soil (soil/sap boundary at 35cm)",,,,HD515,-60.55,GB687,-8.17,,,,,0.1672,0.0578
2109,2110.0,M223,2017-05-26,16:00,Sagehorn,1.5 m SW of MN-1,Soil or rock,Drilled material,Saprolite,,,,,,0.4,40,,0.1282790241,WJH,"small rock frags, sandy",,,,HD515,-62.31,GB687,-8.31,,,,,0.1137,0.0759
2110,2111.0,M224,2017-05-26,16:00,Sagehorn,1.5 m SW of MN-1,Soil or rock,Drilled material,Saprolite,,,,,,0.5,50,,0.1807228916,WJH,"yellow-red, rock frags, some clay",,,,HD515,-65.47,GB687,-9.18,,,,,0.1531,0.0853
2111,2112.0,M225,2017-05-26,16:00,Sagehorn,1.5 m SW of MN-1,Soil or rock,Drilled material,Saprolite,,,,,,0.7,70,,0.1279888463,WJH,"more clay rich, gooey",,,,HD515,-62.92,GB687,-8.91,,,,,0.1135,0.0327
2112,2113.0,M226,2017-05-26,16:00,Sagehorn,1.5 m SW of MN-1,Soil or rock,Drilled material,Saprolite,,,,,,0.85,85,,0.1649507119,WJH,"grey-black, smearing, goo-like w/ rock frag",,,,HD515,-55.39,GB687,-8.13,,,,,0.1416,0.0394
2113,2114.0,M227,2017-05-26,16:30,Sagehorn,4 m downslope of MS-4 in hollow between trees,Soil or rock,Drilled material,Soil,,,,,,0.1,10,,0.17376497300000002,WJH,"light-brown loose soil, roots",,,,HD515,-54.26,GB687,-7.06,,,,,0.14800000000000002,0.0619
2114,2115.0,M228,2017-05-26,16:30,Sagehorn,4 m downslope of MS-4 in hollow between trees,Soil or rock,Drilled material,Soil,,,,,,0.2,20,,0.14117787699999998,WJH,"light-brown loose soil, roots",,,,HD515,-53.57,GB687,-7.38,,,,,0.1237,0.0613
2115,2116.0,M229,2017-05-26,16:30,Sagehorn,4 m downslope of MS-4 in hollow between trees,Soil or rock,Drilled material,Soil,,,,,,0.4,40,,0.15527419609999998,WJH,"slightly moister, mor eclay",,,,HD515,-59.6,GB687,-7.45,,,,,0.1344,0.0421
2116,2117.0,M230,2017-05-26,16:30,Sagehorn,4 m downslope of MS-4 in hollow between trees,Soil or rock,Drilled material,Saprolite,,,,,,0.6,60,,0.1710647983,WJH,"clay, wetter",,,,HD515,-58.08,GB687,-8.01,,,,,0.1461,0.0879
2117,2118.0,M231,2017-05-26,16:30,Sagehorn,4 m downslope of MS-4 in hollow between trees,Soil or rock,Drilled material,Weathered bedrock,,,,,,0.8,80,,0.1764035879,WJH,"smearing black, clayey",,,,HD515,-57.67,GB687,-8.11,,,,,0.15,0.0791
2118,2119.0,M232,2017-05-26,16:30,Sagehorn,4 m downslope of MS-4 in hollow between trees,Soil or rock,Drilled material,Weathered bedrock,,,,,,1.0,100,,0.08067250308,WJH,"crumbly grey, drier (why?)",,,,HD515,-59.97,GB687,-8.36,,,,,0.0747,0.0774
2137,2138.0,SAGE T205 2015-06-10 IS,2015-06-10,,Sagehorn,T4/205,Tree,Stem,,4.0,205.0,Oregon white (Garry) oak,QUGA,,,,,,ilana stein,,,,,HD515,-55.55,GB687,-7.98,,,,,,
2138,2139.0,SAGE T206 2015-06-10 IS,2015-06-10,,Sagehorn,T5/206,Tree,Stem,,5.0,206.0,Oregon white (Garry) oak,QUGA,,,,,,ilana stein,,,,,HD515,-54.92,GB687,-7.33,,,,,,
2139,2140.0,SAGE T207 2015-06-10 IS,2015-06-10,,Sagehorn,T1/207,Tree,Stem,,1.0,207.0,Oregon white (Garry) oak,QUGA,,,,,,ilana stein,,,,,HD515,-55.67,GB687,-7.8,,,,,,
2140,2141.0,SAGE T208 2015-06-10 IS,2015-06-10,,Sagehorn,T167/208,Tree,Stem,,167.0,208.0,Oregon white (Garry) oak,QUGA,,,,,,ilana stein,,,,,HD515,-56.2,GB687,-7.89,,,,,,
2141,2142.0,SAGE T209 2015-06-10 IS,2015-06-10,,Sagehorn,T168/209,Tree,Stem,,168.0,209.0,Oregon white (Garry) oak,QUGA,,,,,,ilana stein,,,,,HD515,-55.27,GB687,-8.36,,,,,,
2143,2144.0,SAGE T205 2015-09-26 CW,2015-09-26,,Sagehorn,T4/205,Tree,Stem,,4.0,205.0,Oregon white (Garry) oak,QUGA,,,,,,chris wong,,,,,HD515,-52.52,GB687,-6.48,,,,,,
2144,2145.0,SAGE T206 2015-09-26 CW,2015-09-26,,Sagehorn,T5/206,Tree,Stem,,5.0,206.0,Oregon white (Garry) oak,QUGA,,,,,,chris wong,,,,,HD515,-57.51,GB687,-7.64,,,,,,
2145,2146.0,SAGE T207 2015-09-26 CW,2015-09-26,,Sagehorn,T1/207,Tree,Stem,,1.0,207.0,Oregon white (Garry) oak,QUGA,,,,,,chris wong,,,,,HD515,-54.9,GB687,-6.67,,,,,,
2147,2148.0,SAGE T209 2015-09-26 CW,2015-09-26,,Sagehorn,T168/209,Tree,Stem,,168.0,209.0,Oregon white (Garry) oak,QUGA,,,,,,chris wong,,,,,HD515,-53.62,GB687,-6.79,,,,,,
2148,2149.0,SAGE 1 STEM 2017-08-17 15:20 WJH,2017-08-17,15:20,Sagehorn,T1/207,Tree,Stem,,1.0,207.0,Oregon white (Garry) oak,QUGA,,,,,,WJH,,,,,HD515,-56.19,GB687,-7.56,,,,,,
2149,2150.0,SAGE 3 STEM 2017-08-17 15:38 WJH,2017-08-17,15:38,Sagehorn,T3/204,Tree,Stem,,3.0,204.0,Oregon white (Garry) oak,QUGA,,,,,,WJH,,,,,HD515,-58.52,GB687,-8.04,,,,,,
2150,2151.0,SAGE 4 STEM 2017-08-17 15:30 WJH,2017-08-17,15:30,Sagehorn,T4/205,Tree,Stem,,4.0,205.0,Oregon white (Garry) oak,QUGA,,,,,,WJH,,,,,HD515,-59.9,GB687,-8.03,,,,,,
2151,2152.0,SAGE 5 STEM 2017-08-17 15:32 WJH,2017-08-17,15:32,Sagehorn,T5/206,Tree,Stem,,5.0,206.0,Oregon white (Garry) oak,QUGA,,,,,,WJH,,,,,HD515,-59.19,GB687,-8.12,,,,,,
2152,2153.0,SAGE 166 STEM 2017-08-17 15:00 WJH,2017-08-17,15:00,Sagehorn,T166/NT ADJ,Tree,Stem,,166.0,,Oregon white (Garry) oak,QUGA,,,,,,WJH,,,,,HD515,-56.21,GB687,-7.2,,,,,,
2153,2154.0,SAGE 167 STEM 2017-08-17 14:55 WJH,2017-08-17,14:55,Sagehorn,T167/208,Tree,Stem,,167.0,208.0,Oregon white (Garry) oak,QUGA,,,,,,WJH,,,,,HD515,-58.91,GB687,-7.93,,,,,,
2154,2155.0,SAGE 1 CORE 2017-08-17 15:25 WJH,2017-08-17,15:25,Sagehorn,T1/207,Tree,Tree core,,1.0,207.0,Oregon white (Garry) oak,QUGA,,,,,,WJH,,,,,HD515,-58.75,GB687,-6.98,,,,,,
2155,2156.0,SAGE 3 CORE 2017-08-17 15:43 WJH,2017-08-17,15:43,Sagehorn,T3/204,Tree,Tree core,,3.0,204.0,Oregon white (Garry) oak,QUGA,,,,,,WJH,,,,,HD515,-58.54,GB687,-7.21,,,,,,
2156,2157.0,SAGE 4 CORE 2017-08-17 15:35 WJH,2017-08-17,15:35,Sagehorn,T4/205,Tree,Tree core,,4.0,205.0,Oregon white (Garry) oak,QUGA,,,,,,WJH,,,,,HD515,-60.08,GB687,-7.2,,,,,,
2157,2158.0,SAGE 5 CORE 2017-08-17 15:33 WJH,2017-08-17,15:33,Sagehorn,T5/206,Tree,Tree core,,5.0,206.0,Oregon white (Garry) oak,QUGA,,,,,,WJH,,,,,HD515,-59.16,GB687,-7.62,,,,,,
2158,2159.0,SAGE 166 CORE 2017-08-17 15:15 WJH,2017-08-17,15:15,Sagehorn,T166/NT ADJ,Tree,Tree core,,166.0,,Oregon white (Garry) oak,QUGA,,,,,,WJH,,,,,HD515,-54.68,GB687,-7.49,,,,,,
2159,2160.0,SAGE 167 CORE 2017-08-17 15:10 WJH,2017-08-17,15:10,Sagehorn,T167/208,Tree,Tree core,,167.0,208.0,Oregon white (Garry) oak,QUGA,,,,,,WJH,,,,,HD515,-60.57,GB687,-7.25,,,,,,
2184,2185.0,SAGE 1 QUGA 2017-09-14 10:25 WJH CORE,2017-09-14,10:25,Sagehorn,T1/207,Tree,Tree core,,1.0,207.0,Oregon white (Garry) oak,QUGA,,,,,,,,,,,HD519,-54.1,GB691,-7.9,,,,,,
2185,2186.0,SAGE 3 QUGA 2017-09-14 10:30 WJH CORE,2017-09-14,10:30,Sagehorn,T3/204,Tree,Tree core,,3.0,204.0,Oregon white (Garry) oak,QUGA,,,,,,,,,,,HD519,-56.4,GB691,-8.01,,,,,,
2186,2187.0,SAGE 4 QUGA 2017-09-14 10:35 WJH CORE,2017-09-14,10:35,Sagehorn,T4/205,Tree,Tree core,,4.0,205.0,Oregon white (Garry) oak,QUGA,,,,,,,,,,,HD519,-57.9,GB691,-8.11,,,,,,
2187,2188.0,SAGE 5 QUGA 2017-09-14 10:40 WJH CORE,2017-09-14,10:40,Sagehorn,T5/206,Tree,Tree core,,5.0,206.0,Oregon white (Garry) oak,QUGA,,,,,,,,,,,HD519,-57.3,GB691,-8.37,,,,,,
2188,2189.0,SAGE 166 QUGA 2017-09-14 10:10 WJH CORE,2017-09-14,10:10,Sagehorn,T166/NT ADJ,Tree,Tree core,,166.0,,Oregon white (Garry) oak,QUGA,,,,,,,,,,,HD519,-49.9,GB691,-7.76,,,,,,
2189,2190.0,SAGE 167 QUGA 2017-09-14 10:00 WJH CORE,2017-09-14,10:00,Sagehorn,T167/208,Tree,Tree core,,167.0,208.0,Oregon white (Garry) oak,QUGA,,,,,,,,,,,HD519,-58.6,GB691,-8.13,,,,,,
2190,2191.0,SAGE 1 QUGA 2017-09-14 10:25 STEM,2017-09-14,10:25,Sagehorn,T1/207,Tree,Stem,,1.0,207.0,Oregon white (Garry) oak,QUGA,,,,,,,,,,,HD519,-53.1,GB691,-8.37,,,,,,
2191,2192.0,SAGE 3 QUGA 2017-09-14 10:30 WJH STEM,2017-09-14,10:30,Sagehorn,T3/204,Tree,Stem,,3.0,204.0,Oregon white (Garry) oak,QUGA,,,,,,,,,,,HD519,-55.5,GB691,-8.92,,,,,,
2192,2193.0,SAGE 4 QUGA 2017-09-14 10:35 WJH STEM,2017-09-14,10:35,Sagehorn,T4/205,Tree,Stem,,4.0,205.0,Oregon white (Garry) oak,QUGA,,,,,,,,,,,HD519,-56.5,GB691,-8.68,,,,,,
2193,2194.0,SAGE 5 QUGA 2017-09-14 10:40 WJH STEM,2017-09-14,10:40,Sagehorn,T5/206,Tree,Stem,,5.0,206.0,Oregon white (Garry) oak,QUGA,,,,,,,,,,,HD519,-54.6,GB691,-8.85,,,,,,
2194,2195.0,SAGE 166 QUGA 2017-09-14 10:10 WJH STEM,2017-09-14,10:10,Sagehorn,T166/NT ADJ,Tree,Stem,,166.0,,Oregon white (Garry) oak,QUGA,,,,,,,,,,,HD519,-51.9,GB691,-7.29,,,,,,
2195,2196.0,SAGE 167 QUGA 2017-09-14 10:00 WJH STEM,2017-09-14,10:10,Sagehorn,T167/208,Tree,Stem,,167.0,208.0,Oregon white (Garry) oak,QUGA,,,,,,,,,,,HD519,-54.2,GB691,-8.15,,,,,,
2234,2235.0,M201,2017-09-14,10:45,Sagehorn,"3 m S of T3, sagehorn (on side-slope above MS-4 hollow)",Soil or rock,Drilled material,Soil,,,,,,0.1,10,,0.07998712632999999,,"loose, dry, brown-grey soil w/ small roots",,,,HD519,-51.3,GB691,-3.07,,,,,0.0741,0.136
2235,2236.0,M202,2017-09-14,10:45,Sagehorn,"3 m S of T3, sagehorn (on side-slope above MS-4 hollow)",Soil or rock,Drilled material,Weathered bedrock,,,,,,0.4,40,,0.08002538057,,"wx rock, dusty grey",,,,HD519,-62.3,GB691,-8.74,,,,,0.0741,0.042
2236,2237.0,M203,2017-09-14,10:45,Sagehorn,"3 m S of T3, sagehorn (on side-slope above MS-4 hollow)",Soil or rock,Drilled material,Weathered bedrock,,,,,,0.65,65,,0.1093519563,,"lots of wx rock pieces, dusty grey (dry)",,,,HD519,-67.2,GB691,-9.68,,,,,0.0986,0.0744
2237,2238.0,M204,2017-09-14,10:45,Sagehorn,"3 m S of T3, sagehorn (on side-slope above MS-4 hollow)",Soil or rock,Drilled material,Weathered bedrock,,,,,,0.95,95,,0.09885321101,,"dusty! rocky, dry",,,,HD519,-64.5,GB691,-9.71,,,,,0.09,0.0751
2241,2242.0,1/4/18 10:00,2018-01-04,10:00,Sagehorn,,Water,Rain,,,,,,,,,,,,,,,,HD525,-44.4,GB697,-7.59,,,,,,
2242,2243.0,1/9/18 6:00,2018-01-09,6:00,Sagehorn,,Water,Rain,,,,,,,,,,,,,,,,HD525,-129.1,GB697,-18.11,,,,,,
2243,2244.0,1/5/18 5:30,2018-01-05,5:30,Sagehorn,,Water,Rain,,,,,,,,,,,,,,,,HD525,-38.3,GB697,-6.46,,,,,,
2244,2245.0,##########,2017-11-20,7:00,Sagehorn,,Water,Rain,,,,,,,,,,,,,,,,HD525,-43.1,GB697,-7.84,,,,,,
2245,2246.0,1/10/18 9:00,2018-01-10,9:00,Sagehorn,,Water,Rain,,,,,,,,,,,,,,,,HD525,-44.6,GB697,-8.02,,,,,,
2246,2247.0,1/8/18 7:00,2018-01-08,7:00,Sagehorn,,Water,Rain,,,,,,,,,,,,,,,,HD525,-91.7,GB697,-13.37,,,,,,
2247,2248.0,##########,2017-11-21,7:00,Sagehorn,,Water,Rain,,,,,,,,,,,,,,,,HD525,-48.1,GB697,-7.88,,,,,,
2248,2249.0,##########,2017-11-24,6:00,Sagehorn,,Water,Rain,,,,,,,,,,,,,,,,HD525,-28.8,GB697,-5.62,,,,,,
2249,2250.0,1/11/18 7:00,2018-01-11,7:00,Sagehorn,,Water,Rain,,,,,,,,,,,,,,,,HD525,-25.6,GB697,-5.91,,,,,,
2250,2251.0,##########,2017-11-17,6:00,Sagehorn,,Water,Rain,,,,,,,,,,,,,,,,HD525,-20.9,GB697,-6.04,,,,,,
2251,2252.0,##########,2017-11-15,7:00,Sagehorn,,Water,Rain,,,,,,,,,,,,,,,,HD525,-59.4,GB697,-9.6,,,,,,
2252,2253.0,12/3/17 7:30,2017-12-03,7:30,Sagehorn,,Water,Rain,,,,,,,,,,,,,,,,HD525,-38.6,GB697,-7.83,,,,,,
2253,2254.0,1/6/18 8:00,2018-01-06,8:00,Sagehorn,,Water,Rain,,,,,,,,,,,,,,,,HD525,-42.5,GB697,-6.81,,,,,,
2254,2255.0,##########,2017-11-16,6:30,Sagehorn,,Water,Rain,,,,,,,,,,,,,,,,HD525,-57.3,GB697,-9.34,,,,,,
2255,2256.0,##########,2017-11-26,8:00,Sagehorn,,Water,Rain,,,,,,,,,,,,,,,,HD525,-43.5,GB697,-6.8,,,,,,
2256,2257.0,##########,2017-11-27,8:00,Sagehorn,,Water,Rain,,,,,,,,,,,,,,,,HD525,-35.1,GB697,-6.3,,,,,,
2340,2341.0,12:50 Sage 506 18/01/11 MW,2018-01-11,12:50,Sagehorn,W506,Water,Well water,,,,,,,,,,,MW,,,,,HD526,-50.9,GB698,-8.0,,,,,,
2341,2342.0,Sage 507 MW 12:33 18/01/11,2018-01-11,12:33,Sagehorn,W507,Water,Well water,,,,,,,,,,,MW,,,,,HD526,-75.6,GB698,-10.92,,,,,,
2343,2344.0,Sage 502 MW 18/01/11 13:03,2018-01-11,13:03,Sagehorn,W502,Water,Well water,,,,,,,,,,,MW,,,,,HD526,-49.8,GB698,-7.98,,,,,,
2344,2345.0,508 Sage MW 12:55 18/01/11,2018-01-11,12:55,Sagehorn,W508,Water,Well water,,,,,,,,,,,MW,,,,,HD526,-56.0,GB698,-8.72,,,,,,
2345,2346.0,Sage 500 MW 13:18 2018/01/11,2018-01-11,13:18,Sagehorn,W500,Water,Well water,,,,,,,,,,,MW,,,,,HD526,-43.7,GB698,-7.17,,,,,,
2346,2347.0,MS4 11:24 18/01/11 MW,2018-01-11,11:24,Sagehorn,MS4,Water,Well water,,,,,,,,,,,MW,,,,,HD526,-45.4,GB698,-7.56,,,,,,
2347,2348.0,Dry Crk 2018-01-11 9:38 0.435m,2018-01-11,9:38,Sagehorn,Dry Creek,Water,Stream water,,,,,,,,43.5,,,,,,,,HD526,-49.7,GB698,-8.09,,,,,,
2348,2349.0,Dry Crk 1/8/18 13:50 0.67 m,2018-01-08,13:50,Sagehorn,Dry Creek,Water,Stream water,,,,,,,,67,,,,,,,,HD526,-63.6,GB698,-9.79,,,,,,
2349,2350.0,Dry Crk 16:19 18/01/11 MW 0.438,2018-01-11,16:19,Sagehorn,Dry Creek,Water,Stream water,,,,,,,,43.8,,,MW,,,,,HD526,-50.3,GB698,-8.19,,,,,,
2350,2351.0,MN1 1400 2018/01/11 MW,2018-01-11,14:00,Sagehorn,MN1,Water,Well water,,,,,,,,,,,MW,,,,,HD526,-40.5,GB698,-7.07,,,,,,
2423,2424.0,"Sage Well 500 2017/10/09 MW, AD 14:35",2017-10-09,14:35,Sagehorn,W500,Water,Well water,,,,,,,,,,,"MW, AD",,,,,HD527,-47.4,GB699,-7.27,,,,,,
