datetime,max,min,avg
2016-04-01 00:30:00,9.011804439740551e-06,,7.557471327207218e-06
2016-04-01 01:00:00,1.6589912718609215e-05,,1.3912617670537147e-05
2016-04-01 01:30:00,2.293913857389047e-05,,1.9237199741986564e-05
2016-04-01 02:00:00,3.195094301363102e-05,,2.6794671069193783e-05
2016-04-01 02:30:00,4.0962747453371575e-05,,3.4352142396401005e-05
2016-04-01 03:00:00,5.0998620579444924e-05,,4.276841728351699e-05
2016-04-01 03:30:00,5.693821896018709e-05,,4.774947793099789e-05
2016-04-01 04:00:00,6.697409208626044e-05,,5.6165752818113886e-05
2016-04-01 04:30:00,7.537145531420728e-05,,6.320794200938085e-05
2016-04-01 05:00:00,8.417844601669323e-05,,7.059365262461634e-05
2016-04-01 05:30:00,9.237099550738545e-05,,7.746408110391157e-05
2016-04-01 06:00:00,9.831059388812763e-05,,8.244514175139247e-05
2016-04-01 06:30:00,0.0001042501922688698,,8.742620239887338e-05
2016-04-01 07:00:00,0.00010814165327694638,,9.068965592653673e-05
2016-04-01 07:30:00,0.00011080423186141762,,9.292254518230455e-05
2016-04-01 08:00:00,0.00011510532034403327,,9.652952013393642e-05
2016-04-01 08:30:00,0.00011831406889455563,,9.922043795499475e-05
2016-04-01 09:00:00,0.00012043047751298472,,0.00010099529864547957
2016-04-01 09:30:00,0.0001214545461993205,,0.00010185410220539084
2016-04-01 10:00:00,0.0001233490732690399,,0.0001034428887912252
2016-04-01 10:30:00,0.00012611405872214293,,0.00010576165840298265
2016-04-01 11:00:00,0.0001297495025586296,,0.00010881041104066319
2016-04-01 11:30:00,0.00013425540477849987,,0.00011258914670426679
2016-04-01 12:00:00,0.00014326720921824042,,0.000120146618031474
2016-04-01 12:30:00,0.00015514640597972474,,0.0001301087393264358
2016-04-01 13:00:00,0.00016753763708437545,,0.000140500262401352
2016-04-01 13:30:00,0.00018044090253219256,,0.00015132118725622254
2016-04-01 14:00:00,0.00018412754980298465,,0.00015441288007188913
2016-04-01 14:30:00,0.00019324176111135252,,0.00016205623175508222
2016-04-01 15:00:00,0.00020778353645729616,,0.00017425124230580183
2016-04-01 15:30:00,0.0002196627332187805,,0.00018421336360076364
2016-04-01 16:00:00,0.000233078033009764,,0.0001954636902355886
2016-04-01 16:30:00,0.00024802943583024676,,0.00020800222221027673
2016-04-01 17:00:00,0.0002615471424898576,,0.00021933842920108753
2016-04-01 17:30:00,0.0002633904661252596,,0.00022088427560892584
2016-04-01 18:00:00,0.00027178782935320195,,0.00022792646480018902
2016-04-01 18:30:00,0.0002867392321736847,,0.00024046499677487715
2016-04-01 19:00:00,0.00030066656630783455,,0.00025214472518965647
2016-04-01 19:30:00,0.00031172650812024067,,0.0002614198036366812
2016-04-01 20:00:00,0.0003229912636699313,,0.00027086664279570277
2016-04-01 20:30:00,0.0003338463917450828,,0.00027996996053075577
2016-04-01 21:00:00,0.00034613521598110623,,0.00029027560324968615
2016-04-01 21:30:00,0.00035862885395438425,,0.00030075300668058817
2016-04-01 22:00:00,0.0003725561880885342,,0.0003124327350953675
2016-04-01 22:30:00,0.0003850498260618122,,0.00032291013852626954
2016-04-01 23:00:00,0.00039447125797609185,,0.00033081113127744527
2016-04-01 23:30:00,0.00040635045473757614,,0.00034077325257240705
2016-04-02 00:00:00,0.0004161815141263949,,0.0003490177667475513
2016-04-02 00:30:00,0.0004276510834133401,,0.0003586363666185446
2016-04-02 01:00:00,0.00043830139775123705,,0.0003675679236416259
2016-04-02 01:30:00,0.0004479276434027713,,0.0003756406771047734
2016-04-02 02:00:00,0.0004581683302661291,,0.00038422871270388616
2016-04-02 02:30:00,0.0004671801347058697,,0.0003917861840310934
2016-04-02 03:00:00,0.00047660156662014935,,0.00039968717678226913
2016-04-02 03:30:00,0.00048663743974622267,,0.0004081034516693851
2016-04-02 04:00:00,0.000496673312872296,,0.0004165197265565011
2016-04-02 04:30:00,0.0005058899310493211,,0.0004242489585957051
2016-04-02 05:00:00,0.000512853598116396,,0.0004300888228030948
2016-04-02 05:30:00,0.0005212509613443429,,0.0004371310119943618
2016-04-02 06:00:00,0.0005312868344704162,,0.00044554728688147774
2016-04-02 06:30:00,0.0005382505015374912,,0.0004513871510888674
2016-04-02 07:00:00,0.0005400938251728932,,0.0004529329974967057
2016-04-02 07:30:00,0.000544804541130048,,0.0004568834938723061
2016-04-02 08:00:00,0.0005493104433499182,,0.00046066222953590973
2016-04-02 08:30:00,0.0005532019043579949,,0.0004639256830635731
2016-04-02 09:00:00,0.0005564789241542777,,0.0004666738544552962
2016-04-02 09:30:00,0.0005615992675859417,,0.00047096787225484006
2016-04-02 10:00:00,0.0005676412728353111,,0.00047603481325830685
2016-04-02 10:30:00,0.0005746049399023861,,0.0004818746774656965
2016-04-02 11:00:00,0.0005802373176772315,,0.0004865980970452073
2016-04-02 11:30:00,0.0005845384061598471,,0.0004902050719968391
2016-04-02 12:00:00,0.0005915020732269221,,0.0004960449362042288
2016-04-02 12:30:00,0.0005969637728873736,,0.000500625221857084
2016-04-02 13:00:00,0.0006009235051412017,,0.0005039459289554046
2016-04-02 13:30:00,0.0006033812699884065,,0.0005060070574991907
2016-04-02 14:00:00,0.0006114714126104564,,0.0005127916056224875
2016-04-02 14:30:00,0.0006251939330073517,,0.0005242995733252951
2016-04-02 15:00:00,0.0006450608655222439,,0.0005409603623875553
2016-04-02 15:30:00,0.0006542774836992688,,0.0005486895944267593
2016-04-02 16:00:00,0.0006690240727824969,,0.0005610563656894757
2016-04-02 16:30:00,0.0006737347887396517,,0.0005650068620650761
