day,Hole ID,Depth (m),Neutron Count (MD),Theta
2016-05-19,503,1.42,4179,0.270988
2016-05-19,503,1.72,4270,0.27754
2016-05-19,503,2.03,4368,0.284596
2016-05-19,503,2.33,4179,0.270988
2016-05-19,503,2.64,4123,0.26695599999999997
2016-05-19,503,2.94,4466,0.291652
2016-05-19,503,3.25,3982,0.256804
2016-05-19,503,3.55,3917,0.25212399999999996
2016-05-19,503,3.86,3909,0.251548
2016-05-19,503,4.16,3914,0.25190799999999997
2016-05-19,503,4.47,3967,0.25572399999999995
2016-05-19,503,4.77,4065,0.26278
2016-05-19,503,5.08,4041,0.261052
2016-05-19,503,5.38,4110,0.26602
2016-05-19,503,5.69,4113,0.26623600000000003
2016-05-19,503,5.99,3932,0.253204
2016-05-19,503,6.3,4277,0.278044
2016-05-19,503,6.6,4080,0.26386
2016-05-19,503,6.91,4187,0.27156399999999997
2016-05-19,505,0.51,5017,0.22541599999999998
2016-05-19,505,0.82,4448,0.198104
2016-05-19,505,1.12,4895,0.219576
2016-05-19,505,1.43,5065,0.22771999999999998
2016-05-19,505,1.73,4929,0.221192
2016-05-19,505,2.04,4627,0.206696
2016-05-19,505,2.34,5065,0.22771999999999998
2016-05-19,505,2.65,5114,0.23007199999999997
2016-05-19,505,2.95,5075,0.2282
2016-05-19,505,3.26,5323,0.24010399999999998
2016-05-19,505,3.56,4835,0.21668
2016-05-19,505,3.87,4951,0.222248
2016-05-19,505,4.17,5496,0.248408
2016-05-19,505,4.48,5262,0.23717600000000003
2016-05-19,505,4.78,5716,0.258968
2016-05-19,505,5.09,5209,0.234632
2016-05-19,505,5.39,5534,0.250232
2016-05-19,505,5.7,5073,0.228104
2016-05-19,506,0.51,5883,0.393676
2016-05-19,506,0.81,5818,0.388996
2016-05-19,506,1.12,5739,0.383308
2016-05-19,506,1.42,5954,0.39878800000000003
2016-05-19,506,1.73,6010,0.40281999999999996
2016-05-19,506,2.03,5743,0.383596
2016-05-19,506,2.34,5761,0.384892
2016-05-19,507,0.51,6078,0.276344
2016-05-19,507,0.82,5399,0.243752
2016-05-19,508,0.51,7369,0.338312
2016-05-19,MN-1,0.19,6065,0.27571999999999997
2016-05-19,MN-1,0.5,7090,0.32492
2016-05-19,MN-1,0.8,5463,0.246824
2016-05-19,MN-1,1.11,5629,0.254824
2016-05-19,MN-1,1.41,6525,0.2978
2016-05-19,standard counts,0.0,7562,
2016-06-10,500,0.4,4278,0.278116
2016-06-10,500,0.7,4802,0.315844
2016-06-10,500,1.01,4706,0.308932
2016-06-10,500,1.31,4768,0.313396
2016-06-10,501,0.37,4449,0.290428
2016-06-10,501,0.68,4811,0.316492
2016-06-10,501,0.98,4914,0.32390800000000003
2016-06-10,501,1.29,4998,0.32995599999999997
2016-06-10,501,1.59,4821,0.317212
2016-06-10,501,1.9,4308,0.280276
2016-06-10,501,2.2,4012,0.25896399999999997
2016-06-10,501,2.51,4097,0.26508400000000004
2016-06-10,501,2.81,4298,0.27955599999999997
2016-06-10,501,3.12,4208,0.27307600000000004
2016-06-10,501,3.42,4224,0.274228
2016-06-10,501,3.73,4642,0.304324
2016-06-10,501,4.03,5563,0.370636
2016-06-10,501,4.34,4917,0.32412399999999997
2016-06-10,501,4.64,5591,0.372652
2016-06-10,501,4.95,5927,0.39684400000000003
2016-06-10,501,5.25,5719,0.381868
2016-06-10,501,5.56,5745,0.38374
2016-06-10,501,5.86,5895,0.39454
2016-06-10,501,6.17,6275,0.4219
2016-06-10,501,6.47,5683,0.379276
2016-06-10,501,6.78,5645,0.37654
2016-06-10,501,7.08,5394,0.358468
2016-06-10,501,7.38,4393,0.286396
2016-06-10,501,7.69,4630,0.30346
2016-06-10,501,7.99,4274,0.277828
2016-06-10,501,8.3,4117,0.266524
2016-06-10,501,8.6,4068,0.262996
2016-06-10,501,8.91,4742,0.31152399999999997
2016-06-10,502,0.13,2583,0.10858399999999999
2016-06-10,502,0.44,5161,0.232328
2016-06-10,502,0.74,5266,0.237368
2016-06-10,502,1.05,6151,0.27984799999999993
2016-06-10,503,0.2,2767,0.169324
2016-06-10,503,0.5,3728,0.23851599999999998
2016-06-10,503,0.81,4048,0.261556
2016-06-10,503,1.11,4213,0.273436
2016-06-10,503,1.42,4181,0.27113200000000004
2016-06-10,503,1.72,4333,0.28207600000000005
2016-06-10,503,2.03,4362,0.28416399999999997
2016-06-10,503,2.33,4117,0.266524
2016-06-10,503,2.64,4080,0.26386
2016-06-10,503,2.94,4321,0.28121199999999996
2016-06-10,503,3.25,4058,0.262276
2016-06-10,503,3.55,3985,0.25701999999999997
2016-06-10,503,3.86,3862,0.248164
2016-06-10,503,4.16,3947,0.254284
2016-06-10,503,4.47,4096,0.26501199999999997
2016-06-10,503,4.77,4134,0.267748
2016-06-10,503,5.08,4010,0.25882
2016-06-10,503,5.38,4023,0.259756
2016-06-10,503,5.69,4148,0.268756
2016-06-10,503,5.99,3932,0.253204
2016-06-10,503,6.3,4172,0.270484
2016-06-10,503,6.6,4077,0.263644
2016-06-10,503,6.91,4253,0.276316
2016-06-10,503,7.21,4165,0.26998
2016-06-10,505,0.21,3361,0.145928
2016-06-10,505,0.51,4560,0.20348
2016-06-10,505,0.82,4194,0.185912
2016-06-10,505,1.12,4729,0.211592
2016-06-10,505,1.43,4749,0.212552
2016-06-10,505,1.73,4640,0.20731999999999998
2016-06-10,505,2.04,4504,0.200792
2016-06-10,505,2.34,4957,0.222536
2016-06-10,505,2.65,4981,0.223688
2016-06-10,505,2.95,4969,0.22311199999999998
2016-06-10,505,3.26,5247,0.236456
2016-06-10,505,3.56,4784,0.214232
2016-06-10,505,3.87,5039,0.22647199999999998
2016-06-10,505,4.17,5376,0.242648
2016-06-10,505,4.48,5186,0.233528
2016-06-10,505,4.78,5645,0.25556
2016-06-10,505,5.09,5206,0.234488
2016-06-10,505,5.39,5463,0.246824
2016-06-10,505,5.7,5143,0.23146399999999998
2016-06-10,506,0.2,3586,0.228292
2016-06-10,506,0.51,4984,0.328948
2016-06-10,506,0.81,4927,0.324844
2016-06-10,506,1.12,5445,0.3621640000000001
2016-06-10,506,1.42,5853,0.391516
2016-06-10,506,1.73,5892,0.39432399999999995
2016-06-10,506,2.03,5517,0.367324
2016-06-10,506,2.34,5795,0.38734
2016-06-10,506,2.64,5699,0.38042800000000004
2016-06-10,507,0.21,4868,0.21826399999999999
2016-06-10,507,0.51,5378,0.24274400000000002
2016-06-10,507,0.82,4932,0.221336
2016-06-10,507,1.12,4801,0.21508000000000002
2016-06-10,508,0.21,4529,0.201992
2016-06-10,508,0.51,6753,0.308744
2016-06-10,508,0.82,6543,0.298664
2016-06-10,MN-1,0.19,4250,0.1886
2016-06-10,MN-1,0.5,6384,0.291032
2016-06-10,MN-1,0.8,5041,0.226568
