day,Hole ID,Depth Below Surface [m],Neutron Count (MD)
2016-05-19,505,2.0955000000000004,4627
2016-05-19,505,2.4003000000000005,5065
2016-05-19,505,2.7051,5114
2016-05-19,505,3.0099,5075
2016-05-19,505,3.3147,5323
2016-05-19,505,3.6195000000000004,4835
2016-05-19,505,3.9242999999999997,4951
2016-05-19,505,4.2291,5496
2016-05-19,505,4.5339,5262
2016-05-19,505,4.8387,5716
2016-05-19,505,5.1435,5209
2016-05-19,505,5.4483,5534
2016-05-19,505,5.7531,5073
2016-05-19,506,0.5715000000000001,5883
2016-05-19,506,0.8763000000000001,5818
2016-05-19,506,1.1811,5739
2016-05-19,506,1.4859000000000002,5954
2016-05-19,506,1.7907,6010
2016-05-19,506,2.0955000000000004,5743
2016-05-19,506,2.4003000000000005,5761
2016-05-19,507,0.5715000000000001,6078
2016-05-19,507,0.8763000000000001,5399
2016-05-19,508,0.5715000000000001,7369
2016-05-19,MN-1,0.26670000000000005,6065
2016-05-19,MN-1,0.5715000000000001,7090
2016-05-19,MN-1,0.8763000000000001,5463
2016-05-19,MN-1,1.1811,5629
2016-05-19,MN-1,1.4859000000000002,6525
2016-06-10,500,0.5715000000000001,4278
2016-06-10,500,0.8763000000000001,4802
2016-06-10,500,1.1811,4706
2016-06-10,500,1.4859000000000002,4768
2016-06-10,501,0.5715000000000001,4449
2016-06-10,501,0.8763000000000001,4811
2016-06-10,501,1.1811,4914
2016-06-10,501,1.4859000000000002,4998
2016-06-10,501,1.7907,4821
2016-06-10,501,2.0955000000000004,4308
2016-06-10,501,2.4003000000000005,4012
2016-06-10,501,2.7051,4097
2016-06-10,501,3.0099,4298
2016-06-10,501,3.3147,4208
2016-06-10,501,3.6195000000000004,4224
2016-06-10,501,3.9242999999999997,4642
2016-06-10,501,4.2291,5563
2016-06-10,501,4.5339,4917
2016-06-10,501,4.8387,5591
2016-06-10,501,5.1435,5927
2016-06-10,501,5.4483,5719
2016-06-10,501,5.7531,5745
2016-06-10,501,6.0579,5895
2016-06-10,501,6.3627,6275
2016-06-10,501,6.6675,5683
2016-06-10,501,6.972300000000001,5645
2016-06-10,501,7.2771,5394
2016-06-10,501,7.5819,4393
2016-06-10,501,7.886699999999999,4630
2016-06-10,501,8.1915,4274
2016-06-10,501,8.4963,4117
2016-06-10,501,8.8011,4068
2016-06-10,501,9.1059,4742
2016-06-10,502,0.26670000000000005,2583
2016-06-10,502,0.5715000000000001,5161
2016-06-10,502,0.8763000000000001,5266
2016-06-10,502,1.1811,6151
2016-06-10,503,0.26670000000000005,2767
2016-06-10,503,0.5715000000000001,3728
2016-06-10,503,0.8763000000000001,4048
2016-06-10,503,1.1811,4213
2016-06-10,503,1.4859000000000002,4181
2016-06-10,503,1.7907,4333
2016-06-10,503,2.0955000000000004,4362
2016-06-10,503,2.4003000000000005,4117
2016-06-10,503,2.7051,4080
2016-06-10,503,3.0099,4321
2016-06-10,503,3.3147,4058
2016-06-10,503,3.6195000000000004,3985
2016-06-10,503,3.9242999999999997,3862
2016-06-10,503,4.2291,3947
2016-06-10,503,4.5339,4096
2016-06-10,503,4.8387,4134
2016-06-10,503,5.1435,4010
2016-06-10,503,5.4483,4023
2016-06-10,503,5.7531,4148
2016-06-10,503,6.0579,3932
2016-06-10,503,6.3627,4172
2016-06-10,503,6.6675,4077
2016-06-10,503,6.972300000000001,4253
2016-06-10,503,7.2771,4165
2016-06-10,505,0.26670000000000005,3361
2016-06-10,505,0.5715000000000001,4560
2016-06-10,505,0.8763000000000001,4194
2016-06-10,505,1.1811,4729
2016-06-10,505,1.4859000000000002,4749
2016-06-10,505,1.7907,4640
2016-06-10,505,2.0955000000000004,4504
2016-06-10,505,2.4003000000000005,4957
2016-06-10,505,2.7051,4981
2016-06-10,505,3.0099,4969
2016-06-10,505,3.3147,5247
2016-06-10,505,3.6195000000000004,4784
2016-06-10,505,3.9242999999999997,5039
2016-06-10,505,4.2291,5376
2016-06-10,505,4.5339,5186
2016-06-10,505,4.8387,5645
2016-06-10,505,5.1435,5206
2016-06-10,505,5.4483,5463
2016-06-10,505,5.7531,5143
2016-06-10,506,0.26670000000000005,3586
2016-06-10,506,0.5715000000000001,4984
2016-06-10,506,0.8763000000000001,4927
2016-06-10,506,1.1811,5445
2016-06-10,506,1.4859000000000002,5853
2016-06-10,506,1.7907,5892
2016-06-10,506,2.0955000000000004,5517
2016-06-10,506,2.4003000000000005,5795
2016-06-10,506,2.7051,5699
2016-06-10,507,0.26670000000000005,4868
2016-06-10,507,0.5715000000000001,5378
2016-06-10,507,0.8763000000000001,4932
2016-06-10,507,1.1811,4801
2016-06-10,508,0.26670000000000005,4529
2016-06-10,508,0.5715000000000001,6753
2016-06-10,508,0.8763000000000001,6543
2016-06-10,MN-1,0.26670000000000005,4250
2016-06-10,MN-1,0.5715000000000001,6384
2016-06-10,MN-1,0.8763000000000001,5041
2016-06-10,MN-1,1.1811,5322
2016-06-10,MN-1,1.4859000000000002,6398
2016-06-10,MS-4,0.26670000000000005,4072
2016-06-10,MS-4,0.5715000000000001,5219
2016-06-10,MS-4,0.8763000000000001,5590
2016-06-10,MS-4,1.1811,5253
2016-06-25,500,0.26670000000000005,1503
2016-06-25,500,0.5715000000000001,4191
2016-06-25,500,0.8763000000000001,4754
2016-06-25,500,1.1811,4641
2016-06-25,500,1.4859000000000002,4706
2016-06-25,501,0.26670000000000005,1392
2016-06-25,501,0.5715000000000001,4407
2016-06-25,501,0.8763000000000001,4768
2016-06-25,501,1.1811,4924
2016-06-25,501,1.4859000000000002,4932
2016-06-25,501,1.7907,4479
2016-06-25,501,2.0955000000000004,4273
2016-06-25,501,2.4003000000000005,4037
2016-06-25,501,2.7051,3997
2016-06-25,501,3.0099,4317
2016-06-25,501,3.3147,4293
2016-06-25,501,3.6195000000000004,4374
2016-06-25,501,3.9242999999999997,4556
2016-06-25,501,4.2291,5467
2016-06-25,501,4.5339,4827
2016-06-25,501,4.8387,5631
2016-06-25,501,5.1435,5982
2016-06-25,501,5.4483,5911
2016-06-25,501,5.7531,5663
2016-06-25,501,6.0579,5855
2016-06-25,501,6.3627,6234
2016-06-25,501,6.6675,5687
2016-06-25,501,6.972300000000001,5642
2016-06-25,501,7.2771,5454
2016-06-25,501,7.5819,4291
2016-06-25,501,7.886699999999999,4658
2016-06-25,501,8.1915,4252
2016-06-25,501,8.4963,4115
2016-06-25,501,8.8011,4092
2016-06-25,501,9.1059,4696
2016-06-25,502,0.26670000000000005,2555
2016-06-25,502,0.5715000000000001,5017
2016-06-25,502,0.8763000000000001,5324
2016-06-25,502,1.1811,6106
2016-06-25,502,1.4859000000000002,6008
